iter	RMSE
127	0.187976052
128	0.1878819157
129	0.1878792351
130	0.1877426772
131	0.1876499759
132	0.1875687431
133	0.1875535174
134	0.1874360792
135	0.1873286862
136	0.1873074301
137	0.1872696973
138	0.187138901
139	0.187017266
140	0.1869199606
141	0.1869162354
142	0.1867943344
143	0.1867768326
144	0.1866914233
145	0.1866169647
146	0.1864579431
147	0.1864492624
148	0.1862827777
149	0.1861497567
150	0.1861457572
151	0.18604484
152	0.1860384649
153	0.1859516265
154	0.185817052
155	0.185706737
156	0.1855830604
157	0.1854894947
158	0.1854496583
159	0.1854470753
160	0.1853498102
161	0.1853415326
162	0.1853361466
163	0.1852517746
164	0.1851401486
165	0.1850670241
166	0.1850473391
167	0.1849784132
168	0.184971491
169	0.1849163136
170	0.1848589303
171	0.184853823
172	0.1848230607
173	0.1847125862
174	0.184708436
175	0.184701789
176	0.1846734709
177	0.1846570049
178	0.1845808104
179	0.1845312138
180	0.1844680569
181	0.1844633632
182	0.1843922476
183	0.1843014717
184	0.1842965963
185	0.1842937773
186	0.184274135
187	0.1842469475
188	0.1841639585
189	0.1841158814
190	0.1840791704
191	0.1840767254
192	0.1840136886
193	0.1839629797
194	0.1839593291
195	0.1838174986
196	0.1838128182
197	0.1837912158
198	0.1837696458
199	0.1837476364
200	0.1837208008
201	0.1837143323
202	0.1837111113
203	0.1835929137
204	0.1835033054
205	0.1834268577
206	0.1833489672
207	0.1833451156
208	0.1832704281
209	0.1831491183
210	0.1831201289
211	0.1829915915
212	0.1829542702
213	0.1829457528
214	0.1829353273
215	0.1828513555
216	0.1827577251
217	0.1827513445
218	0.1826582803
219	0.1826097947
220	0.1826052418
221	0.1824664845
222	0.1824460926
223	0.1824396801
224	0.1824379867
225	0.1824105735
226	0.1823995368
227	0.1822825775
228	0.1822812201
229	0.1822800787
230	0.1822427992
231	0.182112107
232	0.1820192143
233	0.1819987495
234	0.1819956
235	0.1819933142
236	0.1819360407
237	0.1818938536
238	0.1818669685
239	0.1818486412
240	0.1818427339
241	0.1818345501
242	0.1818118788
243	0.1817166777
244	0.181677329
245	0.1816678357
246	0.1816038661
247	0.1815656004
248	0.1815187272
249	0.1814859304
250	0.1813656176
251	0.1813598523
252	0.1813490477
253	0.1812891719
254	0.1812319955
255	0.1812265283
256	0.1812205583
257	0.181155962
258	0.1810750295
259	0.1810705602
260	0.181063233
261	0.1810614858
262	0.1810540966
263	0.1810512026
264	0.1809862672
265	0.1809522567
266	0.1809040075
267	0.1808948456
268	0.1808490466
269	0.1808439901
270	0.1808422968
271	0.1808377975
272	0.1808050557
273	0.1807994705
274	0.1807819765
275	0.1807625297
276	0.1807574619
277	0.1806409935
278	0.1806375516
279	0.1805744189
280	0.1805572683
281	0.1805383553
282	0.1804307168
283	0.180399219
284	0.1803965279
285	0.180305763
286	0.1802546144
287	0.180199367
288	0.1801921797
289	0.1801331351
290	0.1800536374
291	0.1800517435
292	0.1800003033
293	0.179974946
294	0.1799695919
295	0.1799630538
296	0.1799609417
297	0.1799174196
298	0.1799137983
299	0.1798596356
300	0.1798535704
301	0.1798457784
302	0.1798434076
303	0.1798413643
304	0.1798387674
305	0.179834679
306	0.1798168768
307	0.1798143734
308	0.1797375671
309	0.1797319905
310	0.1797309562
311	0.1797281659
312	0.1796543162
313	0.1796479757
314	0.1796158036
315	0.1795853218
316	0.1795713861
317	0.1795649123
318	0.1795307218
319	0.179510665
320	0.1794706584
321	0.1794410756
322	0.1793516471
323	0.1793510198
324	0.1793425514
325	0.179295225
326	0.1792796517
327	0.1792484651
328	0.1792297693
329	0.1791152609
330	0.1791103849
331	0.1790981316
332	0.1790557934
333	0.1789945145
334	0.1789919477
335	0.1789812821
336	0.1789802927
337	0.1789769712
338	0.1789650144
339	0.1789611057
340	0.1789562007
341	0.1789481778
342	0.1789254993
343	0.178908876
344	0.1788351741
345	0.1788322381
346	0.1788297187
347	0.1787897733
348	0.1787612532
349	0.1786850421
350	0.1785844847
351	0.1785783386
352	0.1785592249
353	0.1785405331
354	0.1785117061
355	0.1785074299
356	0.1785053577
357	0.1784986704
358	0.1784488819
359	0.1783412876
360	0.1782396057
361	0.1782185743
362	0.1781459935
363	0.1781391393
364	0.1781236014
365	0.1781107012
366	0.1781063858
367	0.1780876899
368	0.1780083157
369	0.1780021277
370	0.1779323683
371	0.1778921572
372	0.1778892261
373	0.1778400286
374	0.1778342284
375	0.1778298735
376	0.1778258695
377	0.1778174527
378	0.1778016408
379	0.1777313104
380	0.1777186216
381	0.177699991
382	0.1776108957
383	0.1775847711
384	0.177584499
385	0.177525229
386	0.1774944215
387	0.1774266539
388	0.1774239127
389	0.1774109144
390	0.1773542019
391	0.1773529989
392	0.1772989098
393	0.1772574115
394	0.1772485327
395	0.1772456729
396	0.1771993213
397	0.1771947396
398	0.1771366268
399	0.1771318836
400	0.1771214464
401	0.1771206569
402	0.1771177614
403	0.1770640416
404	0.1770389344
405	0.1770233098
406	0.1770226105
407	0.1769341299
408	0.1769308556
409	0.1768816912
410	0.1768713752
411	0.17686826
412	0.1768602503
413	0.1768507075
414	0.1768473544
415	0.1768385674
416	0.1767930324
417	0.1767423686
418	0.1767333745
419	0.1767328859
420	0.1767317167
421	0.1767155261
422	0.1766783732
423	0.1766588196
424	0.1765783402
425	0.1765734884
426	0.1765531039
427	0.176500071
428	0.1764935632
429	0.1764116784
430	0.1763378511
431	0.17633661
432	0.1763327523
433	0.1763302292
434	0.1763034744
435	0.1762922109
436	0.1762641704
437	0.1762238626
438	0.176187148
439	0.1761836685
440	0.1761002878
441	0.1760267098
442	0.1759797958
443	0.1759758978
444	0.1759719005
445	0.1759220355
446	0.1759146053
447	0.1758955165
448	0.1758863135
449	0.1758144773
450	0.1758132774
451	0.1757712073
452	0.1757683229
453	0.1757680582
454	0.1756967207
455	0.1756961352
456	0.1756858627
457	0.1756833734
458	0.1756732642
459	0.1756161809
460	0.1755564385
461	0.1755533353
462	0.1755502328
463	0.1754827559
464	0.175476383
465	0.1754647622
466	0.1754567119
467	0.1753957372
468	0.1753003225
469	0.1752245429
470	0.1752243319
471	0.1751699291
472	0.1751633043
473	0.1751431921
474	0.1750508109
475	0.1749865129
476	0.1749026702
477	0.1748366457
478	0.1747722233
479	0.1747709359
480	0.1747491736
481	0.1747327728
482	0.1746901384
483	0.1746889224
484	0.1746554893
485	0.1746535656
486	0.1746389659
487	0.1746337794
488	0.1745589266
489	0.1745348814
490	0.174531128
491	0.1745025583
492	0.1744589727
493	0.1744328736
494	0.1743667482
495	0.1743626069
496	0.1743451135
497	0.1743328165
498	0.1743318398
499	0.1743298278
500	0.1743148207
501	0.1742606297
502	0.174253329
503	0.1742363416
504	0.1742133431
505	0.174175882
506	0.1740867974
507	0.17401155
508	0.1740044323
509	0.1739519228
510	0.173915793
511	0.1738697722
512	0.1738677576
513	0.1738635944
514	0.1738176939
515	0.1738002754
516	0.1737304363
517	0.1737282702
518	0.173691052
519	0.1736291804
520	0.1735335227
521	0.1735062137
522	0.1734623876
523	0.1734248536
524	0.173423385
525	0.1734220621
526	0.1734132059
527	0.1733813028
528	0.1733801226
529	0.1733749784
530	0.1733439746
531	0.1733093824
532	0.1733018564
533	0.173286026
534	0.1732731964
535	0.1732326754
536	0.1732078853
537	0.1732065956
538	0.1731436569
539	0.1730717046
540	0.1730606534
541	0.1730593963
542	0.1730521032
543	0.1730484318
544	0.1730454859
545	0.1730386394
546	0.1730382104
547	0.1730193378
548	0.1730174576
549	0.1729880745
550	0.1729820114
551	0.1729704899
552	0.1729531697
553	0.172951943
554	0.1729511939
555	0.1729122028
556	0.1729113765
557	0.1728338783
558	0.1728337241
559	0.1728329537
560	0.172751531
561	0.172696854
562	0.1726819056
563	0.1726212564
564	0.1726173702
565	0.1725265867
566	0.172519802
567	0.1724583423
568	0.1724562482
569	0.1724452626
570	0.1724438442
571	0.1723800776
572	0.1723211149
573	0.1723186454
574	0.1723173287
575	0.1722569094
576	0.1721927618
577	0.1721340915
578	0.1721327396
579	0.1721288706
580	0.1720880685
581	0.1720791124
582	0.1719997268
583	0.1719966921
584	0.1719941289
585	0.1719852219
586	0.1719827509
587	0.1719691052
588	0.1719658688
589	0.1719469008
590	0.1718965162
591	0.1718932196
592	0.1718628508
593	0.1718119266
594	0.1717639745
595	0.1717595185
596	0.1716994162
597	0.1716972804
598	0.1716854174
599	0.1716349323
600	0.1716329946
601	0.171609781
602	0.1716063994
603	0.1716005301
604	0.1715491751
605	0.1715481815
606	0.1715287563
607	0.1715283659
608	0.1715230804
609	0.1715228736
610	0.1715151757
611	0.1715060221
612	0.171439291
613	0.1714374838
614	0.1714338946
615	0.171431541
616	0.1713551287
617	0.1712881448
618	0.1712710215
619	0.171270027
620	0.1712565849
621	0.1712545687
622	0.1711720724
623	0.1711118245
624	0.1710311319
625	0.1710238806
626	0.1710128644
627	0.1709558463
628	0.1709278476
629	0.1708823943
630	0.17088196
631	0.1708812591
632	0.1708808431
633	0.1708160605
634	0.1708127482
635	0.1708112215
636	0.1708034009
637	0.1708021819
638	0.1707602282
639	0.1707541695
640	0.1707484257
641	0.1707450529
642	0.1707238675
643	0.1706958066
644	0.1706780082
645	0.1706737616
646	0.1706383766
647	0.1706376029
648	0.1705398868
649	0.1704838166
650	0.1704327438
651	0.1704316929
652	0.1703314682
653	0.1702830239
654	0.1702774097
655	0.1702756879
656	0.1702626063
657	0.1702599672
658	0.1702558766
659	0.1702489281
660	0.1702462701
661	0.17023189
662	0.1702207293
663	0.1702044482
664	0.1701732841
665	0.1701225556
666	0.1700716852
667	0.170070835
668	0.1700701078
669	0.1700109122
670	0.1700059736
671	0.1699839497
672	0.1699834776
673	0.1699810113
674	0.1699794664
675	0.1699005918
676	0.1698409524
677	0.1698393088
678	0.1698385365
679	0.1698325574
680	0.1697520879
681	0.1697129563
682	0.1697111995
683	0.1697020173
684	0.1696973321
685	0.1696241521
686	0.1695421362
687	0.1695389153
688	0.1695197854
689	0.1695185025
690	0.1695164812
691	0.1695134761
692	0.1695100466
693	0.16945789
694	0.16938697
695	0.1693143432
696	0.1693097899
697	0.1693053878
698	0.169297969
699	0.1692975019
700	0.1692911564
701	0.1692468924
702	0.1692114866
703	0.1691326126
704	0.169129483
705	0.1691271637
706	0.1691142065
707	0.1691109096
708	0.16908515
709	0.1690837044
710	0.1690818799
711	0.1689810678
712	0.1689800929
713	0.1689776163
714	0.1689656713
715	0.1689450935
716	0.1689288285
717	0.1689257051
718	0.1688887415
719	0.1688508641
720	0.1688507917
721	0.1687946564
722	0.1687225015
723	0.1687024983
724	0.1686792204
725	0.1686202677
726	0.1686153095
727	0.1686126607
728	0.1686097632
729	0.1686062352
730	0.1686053806
731	0.1686023931
732	0.1685422916
733	0.1685383136
734	0.1685378143
735	0.1685335653
736	0.1685038237
737	0.1685017815
738	0.1685003373
739	0.1684404829
740	0.1684289139
741	0.1683990157
742	0.1683975942
743	0.168383128
744	0.1682915236
745	0.1682913148
746	0.1682872645
747	0.1682865779
748	0.1682552891
749	0.1682520251
750	0.1682371814
751	0.1682363006
752	0.1682346918
753	0.1681899343
754	0.1681886833
755	0.1681823064
756	0.1681796629
757	0.1681661654
758	0.1681421224
759	0.1680705257
760	0.1680685289
761	0.1680235408
762	0.1680201791
763	0.1679930221
764	0.1679863804
765	0.167984312
766	0.1679820898
767	0.1679811102
768	0.1679785007
769	0.1679159563
770	0.1678750429
771	0.1678723027
772	0.1678699606
773	0.1678413651
774	0.1678407075
775	0.16777452
776	0.1677432468
777	0.1677398106
778	0.1677150777
